Младенческая смертность;Люди с доходом < прож. мин. (млн.);Браки;Разводы;Численность врачей (тыс.);Родившиеся;Продолжительность жизни;Реальный ВВП в ценах 2000г. (млрд.);Число преступлений (тыс.)
18142;29,3;1091778;798824;686;1477301;64,8;12039;2756,4
17339;25,2;979667;635835;688,2;1502477;65,3;14207;2893,8
16073;25,4;1066366;604942;690,3;1457376;65,3;18021;3554,7
15079;21,6;1113562;640837;702,2;1479637;66,6;22420;3855,4
14858;18,8;1262500;685910;707,3;1610122;67,6;30101;3582,5
14436;19;1179007;703412;703,8;1713947;67,9;34723;3209,9
14271;18,4;1199446;699430;711,3;1761687;68,7;32634;2994,8
13405;17,7;1215066;639321;715,8;1788948;68,9;40337;2628,8
13168;17,9;1316011;669376;732,8;1796629;69,8;42071;2404,8
16306;15,4;1213598;644101;703,2;1902084;70,2;43544;2302,2
15477;15,5;1225501;667971;702,6;1895822;70,8;44110;2206,2
14322;16,1;1225985;693730;709,4;1942683;70,9;46756;2190,6
12664;19,5;1161068;611646;673;1940579;71,4;45026;2388,5
11428;19,5;985836;608336;680,9;1888729;71,9;44126;2160,1
9577;19,3;1049735;611436;697,1;1690307;72,7;44788;2058,5
